,City,Lat,Lng,Max Temp (degrees F),Humidity,Cloudiness,Wind Speed,Country,Date
53,lima,-12.0432,-77.0282,73.99400000000007,73,0,6.17,PE,1612044459
54,nhulunbuy,-12.2333,136.7667,82.4,89,89,3.6,AU,1612045058
55,nanchang,28.6833,115.8833,47.641999999999996,69,89,0.58,CN,1612045059
56,namibe,-15.1961,12.1522,73.292,78,62,4.04,AO,1612045059
57,ugoofaaru,5.6667,73.0,80.87000000000006,70,36,3.98,MV,1612045059
58,timbiqui,2.7717,-77.6654,80.96000000000008,81,22,1.97,CO,1612045059
59,castro,-24.7911,-50.0119,65.984,97,99,1.26,BR,1612045059
60,lebu,-37.6167,-73.65,60.332000000000015,74,4,5.68,CL,1612045059
61,khash,28.2211,61.2158,51.08000000000004,44,0,3.26,IR,1612045060
62,marivan,35.5219,46.176,29.210000000000083,94,43,1.11,IR,1612045060
63,evensk,61.95,159.2333,-4.377999999999965,82,99,8.14,RU,1612045060
64,tabou,4.423,-7.3528,77.99000000000002,87,49,2.97,CI,1612045060
65,hermanus,-34.4187,19.2345,66.99199999999999,86,3,4.58,ZA,1612045060
66,atar,20.5169,-13.0499,68.72000000000006,21,4,3.76,MR,1612045060
67,new norfolk,-42.7826,147.0587,62.00600000000003,67,9,1.34,AU,1612045061
68,teguldet,57.3064,88.1667,-28.659999999999982,83,0,1.58,RU,1612045061
69,saint-philippe,-21.3585,55.7679,78.8,65,0,2.57,RE,1612045061
70,hovd,48.0056,91.6419,8.383999999999993,83,99,0.37,MN,1612045061
71,tasiilaq,65.6145,-37.6368,21.2,38,90,9.77,GL,1612045061
72,ponta do sol,32.6667,-17.1,59.0,75,64,0.45,PT,1612045062
73,laguna,38.421,-121.4238,60.008,51,1,2.57,US,1612045062
74,la ronge,55.1001,-105.2842,12.2,73,90,2.06,CA,1612045062
75,yellowknife,62.456,-114.3525,-9.993999999999971,77,75,2.06,CA,1612044792
76,hofn,64.2539,-15.2082,20.51600000000001,86,98,9.47,IS,1612045062
77,kaitangata,-46.2817,169.8464,62.00600000000003,70,82,2.24,NZ,1612045062
78,hanover,52.3705,9.7332,28.994000000000074,93,0,1.54,DE,1612045062
79,sibolga,1.7427,98.7792,75.81200000000005,80,99,1.52,ID,1612045062
80,zhigansk,66.7697,123.3711,-50.16999999999996,76,74,0.26,RU,1612045063
81,kloulklubed,7.0419,134.2556,78.8,83,75,3.6,PW,1612045063
82,qaanaaq,77.484,-69.3632,-3.8739999999999597,73,100,0.54,GL,1612044912
83,los llanos de aridane,28.6585,-17.9182,62.6,82,0,5.14,ES,1612045063
84,dikson,73.5069,80.5464,-35.679999999999936,81,0,3.47,RU,1612045063
85,korla,41.7597,86.1469,21.091999999999995,82,0,2.3,CN,1612045064
86,tuatapere,-46.1333,167.6833,60.38600000000007,53,92,1.56,NZ,1612045064
87,grindavik,63.8424,-22.4338,23.0,74,0,3.6,IS,1612045064
88,muriwai beach,-36.8167,174.45,73.99400000000007,42,0,1.64,NZ,1612045064
89,codrington,-38.2667,141.9667,60.314000000000036,68,93,3.2,AU,1612045064
90,dalvik,65.9702,-18.5286,15.8,73,90,1.03,IS,1612045064
91,mogadishu,2.0371,45.3438,75.38000000000004,82,0,9.12,SO,1612045064
92,ust-tsilma,65.441,52.1498,4.298000000000023,93,100,4.06,RU,1612045064
93,upernavik,72.7868,-56.1549,-9.52599999999994,86,25,3.23,GL,1612045065
94,general roca,-39.0333,-67.5833,68.0,52,75,10.29,AR,1612045065
95,airai,-8.9266,125.4092,61.214000000000034,100,100,2.28,TL,1612045065
96,carutapera,-1.195,-46.02,79.46600000000001,80,55,3.36,BR,1612045065
97,vardo,70.3705,31.1107,24.44000000000002,95,100,8.97,NO,1612045065
98,itoman,26.1247,127.6694,59.0,67,20,2.06,JP,1612045065
99,nanortalik,60.1432,-45.2371,30.578000000000067,90,100,3.6,GL,1612045066
100,cherskiy,68.75,161.3,-37.64199999999994,82,4,0.56,RU,1612045066
101,faanui,-16.4833,-151.75,81.21200000000006,71,90,3.29,PF,1612045066
102,viedma,-40.8135,-62.9967,68.0,43,76,6.9,AR,1612045066
103,lieksa,63.3167,30.0167,19.4,97,100,1.47,FI,1612045066
104,kavieng,-2.5744,150.7967,82.92200000000004,74,99,6.29,PG,1612045066
105,leningradskiy,69.3833,178.4167,-27.777999999999963,82,0,1.43,RU,1612045067
106,torbay,47.6666,-52.7314,30.002000000000077,86,90,4.63,CA,1612044855
107,jumla,29.2747,82.1838,30.02000000000006,60,0,1.46,NP,1612045067
108,angoche,-16.2325,39.9086,78.13399999999999,84,100,3.68,MZ,1612045067
109,provideniya,64.3833,-173.3,-13.251999999999974,83,72,4.6,RU,1612045067
110,nome,64.5011,-165.4064,-9.399999999999949,77,1,1.54,US,1612045044
111,tignere,7.3667,12.65,67.47800000000007,25,9,0.86,CM,1612045068
112,outjo,-20.1167,16.15,69.94400000000007,72,100,5.34,NA,1612045068
113,saskylakh,71.9167,114.0833,-35.84199999999994,81,100,4.54,RU,1612045068
114,patos de minas,-18.5789,-46.5181,74.15600000000003,68,95,1.23,BR,1612045068
115,kachug,53.9606,105.8817,-16.56399999999998,84,100,2.3,RU,1612045068
116,port-gentil,-0.7193,8.7815,82.4,78,20,2.06,GA,1612045068
117,szczecinek,53.7079,16.6994,24.998000000000026,87,15,2.99,PL,1612044912
118,college,64.8569,-147.8028,-3.9999999999999503,77,90,1.54,US,1612045069
119,altay,47.8667,88.1167,8.438000000000045,77,0,1.44,CN,1612045069
120,teya,60.3778,92.6267,-37.94799999999998,76,0,0.49,RU,1612045069
121,bure,10.7,37.0667,58.838000000000044,47,1,1.96,ET,1612045069
122,pokhara,28.2333,83.9833,47.04800000000002,49,0,1.67,NP,1612044921
123,anadyr,64.75,177.4833,-5.799999999999947,65,96,11.0,RU,1612045070
124,broome,42.2506,-75.833,19.004000000000055,67,1,4.63,US,1612045070
125,baturaja,-4.1333,104.1667,71.42000000000006,95,99,1.19,ID,1612045070
126,thompson,55.7435,-97.8558,15.8,86,90,1.54,CA,1612045070
127,kudahuvadhoo,2.6708,72.8944,80.88800000000005,78,86,5.93,MV,1612045070
128,yongchang,30.0381,119.7317,50.0,74,100,1.16,CN,1612045070
129,hirara,24.8,125.2833,62.6,72,40,4.63,JP,1612045071
130,ilulissat,69.2167,-51.1,5.0,66,90,3.09,GL,1612045071
131,richards bay,-28.783,32.0377,74.60600000000002,89,98,2.35,ZA,1612045071
132,cape town,-33.9258,18.4232,71.99600000000005,77,75,0.51,ZA,1612044982
133,souillac,-20.5167,57.5167,78.8,89,40,4.44,MU,1612045071
134,esperance,-33.8667,121.9,57.2,88,0,5.66,AU,1612045071
135,pangnirtung,66.1451,-65.7125,-9.723999999999961,73,0,1.1,CA,1612045071
136,jiuquan,39.7432,98.5174,19.382000000000016,71,0,2.08,CN,1612045072
137,totness,5.8833,-56.3167,77.82800000000006,90,100,5.0,SR,1612045072
138,talakan,50.3167,130.3667,-31.053999999999952,82,7,0.49,RU,1612045072
139,yerbogachen,61.2767,108.0108,-38.109999999999985,81,92,2.09,RU,1612045072
140,avarua,-21.2078,-159.775,84.2,74,75,1.54,CK,1612044925
141,kabare,-2.4683,28.8242,61.10600000000003,84,64,0.5,CD,1612045072
142,nishihara,26.1842,127.7558,59.0,47,40,3.09,JP,1612045072
143,quatre cocos,-20.2078,57.7625,78.8,89,40,4.72,MU,1612045073
144,paamiut,61.994,-49.6678,27.446000000000048,88,97,6.06,GL,1612045073
145,el higo,21.7667,-98.4667,79.71800000000009,61,100,2.82,MX,1612045073
146,kaeo,-35.1,173.7833,71.00600000000003,62,0,4.02,NZ,1612045073
147,sorbhog,26.5,90.8667,54.68000000000004,52,0,1.07,IN,1612045073
148,kurchum,48.5722,83.6542,-6.555999999999976,91,42,0.73,KZ,1612045073
149,luderitz,-26.6481,15.1594,67.73000000000005,61,7,10.49,NA,1612045074
150,camacha,33.0833,-16.3333,60.8,94,40,3.09,PT,1612045074
151,keflavik,64.0049,-22.5624,23.0,74,0,3.6,IS,1612045074
152,dicabisagan,17.0818,122.4157,70.07000000000006,80,100,4.83,PH,1612045074
153,newton,42.337,-71.2092,21.2,42,1,2.06,US,1612045074
154,novovarshavka,54.1721,74.6946,10.274000000000012,95,100,5.58,RU,1612045074
155,ribeira grande,38.5167,-28.7,64.4,88,75,8.23,PT,1612045075
156,monterey,36.2505,-121.2516,60.998000000000026,51,84,3.58,US,1612045075
157,rio cuarto,-33.1307,-64.3499,60.008,88,90,4.12,AR,1612045075
158,lata,40.1629,-8.3327,55.99400000000007,86,67,2.24,PT,1612045075
159,alofi,-19.0595,-169.9187,80.6,83,100,5.66,NU,1612045075
160,puerto escondido,15.85,-97.0667,84.2,70,40,3.09,MX,1612045076
161,cabo rojo,18.0866,-67.1457,78.00800000000001,91,17,0.45,PR,1612045076
162,orchard homes,46.8633,-114.0484,41.0,60,90,1.54,US,1612045076
163,chilca,-12.5211,-76.7372,75.00200000000008,73,0,6.17,PE,1612045076
164,batie,9.8833,-2.9167,78.60200000000007,17,12,1.79,BF,1612045076
165,prince rupert,54.3161,-130.3201,42.8,56,75,2.57,CA,1612045077
166,esmeraldas,-19.7625,-44.3139,86.0,51,0,5.66,BR,1612044889
167,san patricio,28.017,-97.5169,84.2,61,75,8.75,US,1612045077
168,tessalit,20.1986,1.0114,65.76800000000009,20,26,5.84,ML,1612045077
169,labuhan,-6.8844,112.2051,76.62200000000004,87,99,3.27,ID,1612045077
170,nassau,40.7507,-73.5829,30.991999999999997,31,1,3.09,US,1612045078
171,hambantota,6.1241,81.1185,77.27000000000007,80,96,5.35,LK,1612045078
172,sorong,-0.8833,131.25,79.39400000000008,80,100,2.81,ID,1612045078
173,kodiak,57.79,-152.4072,33.8,55,1,10.29,US,1612045078
174,volax,41.3167,24.0,48.992,66,49,0.89,GR,1612045078
175,trairi,-3.2778,-39.2689,79.73600000000008,78,63,4.11,BR,1612045079
176,saldanha,-33.0117,17.9442,64.74199999999999,91,0,2.58,ZA,1612045079
177,tucurui,-3.7661,-49.6725,76.35200000000007,91,64,2.3,BR,1612045079
178,san marcos,33.1434,-117.1661,62.99600000000005,47,1,3.6,US,1612044916
179,oga,46.4631,10.347,46.99400000000007,100,75,1.03,IT,1612045080
180,tura,25.5198,90.2201,50.522000000000034,46,0,1.26,IN,1612044920
181,ngorongoro,-3.2397,35.4875,52.10600000000003,97,18,1.82,TZ,1612045080
182,meulaboh,4.1363,96.1285,75.00200000000008,85,48,1.89,ID,1612045080
183,summerville,33.0185,-80.1757,50.0,53,90,4.63,US,1612044944
184,praxedis guerrero,31.3667,-106.0167,60.998000000000026,15,1,7.2,MX,1612045080
185,la baule-escoublac,47.2922,-2.364,51.8,93,90,6.17,FR,1612045080
186,ahipara,-35.1667,173.1667,68.99000000000002,49,0,2.67,NZ,1612045081
187,khatanga,71.9667,102.5,-46.407999999999944,77,29,0.51,RU,1612045081
188,fairbanks,64.8378,-147.7164,-3.9999999999999503,71,90,1.54,US,1612044820
189,dawei,14.0833,98.2,71.00600000000003,65,0,1.68,MM,1612045081
190,camopi,3.1655,-52.3158,74.408,96,93,1.6,GF,1612045081
191,pucallpa,-8.3791,-74.5539,77.0,94,40,1.54,PE,1612045081
192,tuktoyaktuk,69.4541,-133.0374,-34.59999999999995,67,40,1.03,CA,1612045082
193,east london,-33.0153,27.9116,70.25,82,2,0.62,ZA,1612045082
194,caravelas,-17.7125,-39.2481,77.21600000000001,81,0,3.24,BR,1612045082
195,jawor,51.0513,16.1935,23.0,90,81,0.87,PL,1612045082
196,te anau,-45.4167,167.7167,55.346000000000046,73,81,1.54,NZ,1612045082
197,outlook,51.5001,-107.0513,6.998000000000026,78,9,1.54,CA,1612045082
198,burns lake,54.2331,-125.7533,19.4,73,100,1.02,CA,1612045082
199,arlit,18.7369,7.3853,63.77000000000006,24,49,2.7,NE,1612045083
200,riyadh,24.6877,46.7219,53.6,43,0,2.06,SA,1612044855
201,sao jose da coroa grande,-8.8978,-35.1478,78.78200000000001,80,90,4.03,BR,1612045083
202,hasaki,35.7333,140.8333,26.6,74,20,2.06,JP,1612045083
203,necochea,-38.5473,-58.7368,64.00400000000005,57,100,6.45,AR,1612045083
204,kozlovka,55.8428,48.2492,21.2,86,40,6.0,RU,1612045083
205,berlevag,70.8578,29.0864,24.92600000000009,96,100,9.8,NO,1612045083
206,artemisa,22.814,-82.7561,78.8,44,20,3.6,CU,1612045084
207,smoky lake,54.1169,-112.4686,6.800000000000001,85,0,3.09,CA,1612045084
208,chitapur,17.1167,77.0833,68.52200000000003,60,6,3.0,IN,1612045084
209,komsomolskiy,40.4272,71.7189,35.6,48,100,2.06,UZ,1612045084
210,hamilton,39.1834,-84.5333,35.99600000000005,51,75,3.09,US,1612045084
211,hedaru,-4.5,37.9,72.55400000000006,74,100,2.01,TZ,1612045084
212,taltal,-25.4,-70.4833,70.91600000000001,60,22,2.3,CL,1612045085
213,maceio,-9.6658,-35.7353,77.0,94,40,2.57,BR,1612044812
214,koroni,36.8,21.95,53.00600000000003,93,49,2.06,GR,1612045085
215,san andres,12.5847,-81.7006,84.2,65,40,7.2,CO,1612044801
216,kalmunai,7.4167,81.8167,76.26200000000006,87,90,2.87,LK,1612045085
217,champerico,14.3,-91.9167,89.6,58,40,7.2,GT,1612045085
218,manado,1.487,124.8455,75.2,94,20,0.51,ID,1612045085
219,sola,-13.8833,167.55,82.4,83,75,2.57,VU,1612045086
220,lumeje,-11.55,20.7833,68.25200000000008,84,100,1.97,AO,1612045086
221,mahebourg,-20.4081,57.7,78.8,89,40,5.03,MU,1612044980
222,dengzhou,37.8086,120.7508,36.44600000000005,83,100,2.73,CN,1612045086
223,sinnamary,5.3833,-52.95,78.51200000000006,86,100,6.25,GF,1612045087
224,kruisfontein,-34.0033,24.7314,62.00600000000003,86,1,0.45,ZA,1612045087
225,aykhal,66.0,111.5,-35.17599999999993,80,74,5.89,RU,1612045087
226,geraldton,-28.7667,114.6,82.4,30,0,5.66,AU,1612045087
227,arraial do cabo,-22.9661,-42.0278,80.6,73,20,8.23,BR,1612045087
228,pizarro,4.9533,-77.366,80.83399999999999,77,38,3.44,CO,1612045087
229,belomorsk,64.5232,34.7668,16.48399999999999,97,100,1.29,RU,1612045088
230,usinsk,65.9939,57.5281,-1.8039999999999523,93,100,4.73,RU,1612045088
231,miami,25.7743,-80.1937,71.99600000000005,53,75,7.2,US,1612044872
232,santiago,-33.4569,-70.6483,73.99400000000007,94,75,1.03,CL,1612044793
233,homer,59.6425,-151.5483,28.4,69,1,1.74,US,1612045088
234,aden,12.7794,45.0367,74.37200000000004,72,0,3.82,YE,1612045088
235,auki,-8.7676,160.7034,81.17600000000009,84,100,5.29,SB,1612044912
236,fuzhou,26.0614,119.3061,55.4,76,40,2.0,CN,1612045089
237,ballina,-28.8667,153.5667,77.0,88,75,1.54,AU,1612045089
238,bathsheba,13.2167,-59.5167,80.6,65,40,6.17,BB,1612045089
239,palmer,42.1584,-72.3287,21.2,35,1,4.63,US,1612045089
240,severo-kurilsk,50.6789,156.125,23.432000000000016,95,99,14.19,RU,1612045089
241,muscat,23.6139,58.5922,64.4,72,0,0.56,OM,1612045089
242,winchester,51.0651,-1.3187,39.992,81,90,7.72,GB,1612045090
243,limbang,4.75,115.0,78.8,94,75,1.03,MY,1612045090
244,miri,4.4148,114.0089,77.0,100,40,1.54,MY,1612045090
245,kharp,66.8014,65.8081,-22.395999999999944,84,100,2.7,RU,1612045090
246,half moon bay,37.4636,-122.4286,60.008,71,90,4.12,US,1612044947
247,tautira,-17.7333,-149.15,86.0,66,75,6.69,PF,1612045090
248,nizhniy tsasuchey,50.5167,115.1333,-15.339999999999968,88,100,2.09,RU,1612045090
249,langsa,4.4683,97.9683,71.69000000000003,94,45,0.99,ID,1612045091
250,rodino,52.5,80.25,7.7900000000000205,94,87,3.9,RU,1612045091
251,rio grande,-32.035,-52.0986,78.99800000000002,89,100,0.89,BR,1612045079
252,egvekinot,66.3167,-179.1667,-25.671999999999933,83,0,4.71,RU,1612045091
253,ambilobe,-13.2,49.05,73.68800000000005,93,1,0.92,MG,1612045091
254,rafaela,-31.2503,-61.4867,69.99800000000002,73,91,4.02,AR,1612045042
255,huarmey,-10.0681,-78.1522,75.542,65,64,5.25,PE,1612045091
256,dromolaxia,34.8761,33.586,57.2,82,75,6.69,CY,1612045092
257,nouadhibou,20.931,-17.0347,73.4,40,0,7.72,MR,1612045092
258,mount gambier,-37.8333,140.7667,60.8,77,0,3.6,AU,1612045092
259,ukwa,21.9667,80.4667,49.352000000000075,41,0,1.29,IN,1612045092
260,deputatskiy,69.3,139.9,-31.647999999999982,87,88,0.55,RU,1612045092
261,natchitoches,31.7668,-93.1335,66.2,82,90,6.69,US,1612045087
262,xapuri,-10.6517,-68.5044,84.75800000000001,66,10,0.9,BR,1612045093
263,poros,37.4994,23.4536,53.99600000000005,57,23,0.48,GR,1612044922
264,bengkulu,-3.8004,102.2655,75.11000000000008,89,100,2.24,ID,1612045093
265,muslyumovo,55.3033,53.1947,27.05,97,94,4.94,RU,1612045093
266,srednekolymsk,67.45,153.6833,-35.193999999999974,83,100,1.38,RU,1612045093
267,batagay-alyta,67.8006,130.4114,-36.77799999999996,80,95,1.06,RU,1612045094
268,aripuana,-9.1667,-60.6333,78.83600000000007,94,90,0.82,BR,1612044955
269,bonavista,48.6499,-53.1147,28.994000000000074,93,98,2.06,CA,1612045094
270,cabo san lucas,22.8909,-109.9124,75.2,57,20,5.14,MX,1612044860
271,san quintin,30.4833,-115.95,60.89000000000002,58,0,4.34,MX,1612045094
272,cap malheureux,-19.9842,57.6142,75.99199999999999,86,3,0.89,MU,1612045094
273,udachnyy,66.4167,112.4,-31.26999999999996,79,99,4.33,RU,1612045094
274,east wenatchee,47.4157,-120.2931,37.004000000000055,100,90,1.54,US,1612045095
275,rocha,-34.4833,-54.3333,71.24000000000002,79,98,7.69,UY,1612045095
276,guayaramerin,-10.8368,-65.3614,80.87000000000006,91,95,0.83,BO,1612045095
277,chifeng,42.2683,118.9636,9.644000000000073,89,19,1.6,CN,1612045096
278,eureka,40.8021,-124.1637,55.99400000000007,64,83,3.58,US,1612045096
279,taoudenni,22.6783,-3.9836,72.03200000000001,21,0,4.37,ML,1612045096
280,haliyal,15.3333,74.7667,68.59400000000008,42,1,2.26,IN,1612045096
281,freeport,40.6576,-73.5832,32.0,31,1,3.09,US,1612044877
282,san pedro,14.35,121.0167,71.6,78,20,1.03,PH,1612045097
283,tanete,-3.9443,119.7848,74.87600000000009,88,100,0.97,ID,1612045097
284,aklavik,68.2191,-135.0107,-18.39999999999995,76,75,1.03,CA,1612045097
285,karratha,-20.7377,116.8463,86.9,53,95,2.36,AU,1612045097
286,khorinsk,52.1657,109.7726,-17.139999999999972,86,100,1.27,RU,1612045097
287,nambucca heads,-30.65,153.0,82.00400000000005,69,40,2.06,AU,1612045097
288,dingle,10.9995,122.6711,71.47400000000002,90,100,4.38,PH,1612045098
289,kysyl-syr,63.8986,122.7617,-52.70799999999994,76,50,1.2,RU,1612045098
290,george town,5.4112,100.3354,77.0,83,20,2.06,MY,1612044877
291,umm lajj,25.0213,37.2685,65.516,54,0,6.66,SA,1612045098
292,kwinana,-32.25,115.7667,71.00600000000003,56,0,7.2,AU,1612045098
293,araouane,18.9048,-3.5265,69.40400000000005,20,11,4.3,ML,1612045098
294,tabory,58.5198,64.5495,12.488000000000046,97,99,2.07,RU,1612045099
295,palmas,-10.2128,-48.3603,80.6,89,20,0.26,BR,1612045099
296,kieta,-6.2167,155.6333,82.59800000000003,76,86,6.54,PG,1612045099
297,imbituba,-28.24,-48.6703,80.6,83,0,2.06,BR,1612045099
298,phan thiet,10.9333,108.1,69.36800000000008,75,100,1.93,VN,1612044814
299,umm kaddadah,13.6017,26.6876,64.77800000000006,25,0,7.06,SD,1612045100
300,kyra,49.5776,111.9753,0.1040000000000525,91,100,0.91,RU,1612045100
301,kongolo,-5.3833,27.0,71.90600000000003,91,100,0.57,CD,1612045100
302,beyneu,45.3167,55.2,33.530000000000044,95,100,3.8,KZ,1612045100
303,porto murtinho,-21.6989,-57.8825,88.77200000000003,59,7,3.21,BR,1612045100
304,wanaka,-44.7,169.15,61.80800000000001,43,41,2.32,NZ,1612045100
305,guerrero negro,27.9769,-114.0611,64.058,50,1,8.13,MX,1612045100
306,qax,41.4225,46.9242,37.4,93,75,0.51,AZ,1612045101
307,pacific grove,36.6177,-121.9166,57.992,62,90,4.12,US,1612044843
308,lavrentiya,65.5833,-171.0,-18.075999999999937,83,0,2.79,RU,1612045101
309,bumba,2.1833,22.4667,73.50800000000001,51,62,0.81,CD,1612045101
310,shiyan,32.6475,110.7781,45.320000000000064,55,69,0.92,CN,1612045101
311,jinka,5.65,36.65,68.16200000000006,41,0,0.84,ET,1612045101
312,hithadhoo,-0.6,73.0833,81.77000000000007,78,69,7.05,MV,1612045101
313,durres,41.3231,19.4414,44.6,87,0,3.6,AL,1612045102
314,marinette,45.1,-87.6307,30.2,80,75,4.63,US,1612044946
315,miles city,46.4083,-105.8406,30.2,86,90,4.12,US,1612045102
316,keetmanshoop,-26.5833,18.1333,80.31200000000005,15,0,5.37,NA,1612045102
317,smithers,54.7804,-127.1743,19.4,68,90,3.09,CA,1612045102
318,aitape,-3.1374,142.3475,80.20400000000005,77,100,2.26,PG,1612045102
319,hilo,19.7297,-155.09,78.8,61,1,2.57,US,1612045102
320,valdivia,-39.8142,-73.2459,75.2,38,0,3.6,CL,1612045054
321,mindelo,16.8901,-24.9804,73.4,64,75,10.29,CV,1612045103
322,olafsvik,64.8945,-23.7142,22.532000000000018,91,2,8.35,IS,1612045103
323,bulgan,48.8125,103.5347,2.624000000000013,83,65,2.18,MN,1612045103
324,sept-iles,50.2001,-66.3821,21.2,53,25,2.57,CA,1612045103
325,bethel,41.3712,-73.414,26.6,36,1,3.09,US,1612045103
326,mazamari,-11.3258,-74.5308,76.94600000000005,75,86,0.69,PE,1612045104
327,goderich,43.7501,-81.7165,26.6,68,100,2.57,CA,1612045040
328,srivardhan,18.0333,73.0167,73.22000000000006,50,40,2.17,IN,1612045104
329,north branch,45.5113,-92.9802,33.998000000000026,78,100,0.89,US,1612045104
330,neiafu,-18.65,-173.9833,82.4,78,75,5.14,TO,1612045104
331,mayumba,-3.432,10.6554,79.19600000000005,85,100,2.09,GA,1612045104
332,shitanjing,39.2342,106.3439,22.658000000000005,72,0,7.8,CN,1612045104
333,pottsville,40.6857,-76.1955,30.002000000000077,48,0,2.65,US,1612045105
334,gamba,-2.65,10.0,78.51200000000006,87,100,2.33,GA,1612045105
335,asasa,7.1,39.2,51.78200000000002,40,80,1.97,ET,1612045105
336,deloraine,-41.5333,146.6667,59.0,79,92,0.58,AU,1612045105
337,manta,-0.95,-80.7333,77.0,94,90,1.54,EC,1612044980
338,kanigoro,-8.13,112.219,71.56400000000004,91,100,1.71,ID,1612045106
339,peski,55.2163,38.7626,24.8,93,75,4.0,RU,1612045106
340,ostrovnoy,68.0531,39.5131,14.054000000000052,95,100,4.12,RU,1612045106
341,saint-augustin,51.226,-58.6502,28.598000000000024,94,83,6.88,CA,1612045106
342,hay river,60.8156,-115.7999,-9.399999999999949,64,21,2.57,CA,1612044904
343,gat,31.61,34.7642,55.99400000000007,58,0,0.45,IL,1612045106
344,chengde,40.9725,117.9361,14.414000000000033,91,0,0.8,CN,1612045107
